source,currency_pair,rate,rate_type,iso_datetime,date,timestamp
tinkoff,USD/RUB,80.2,value,2026-05-01T07:11:00.749000+03:00,2026-05-01,1777608660
tinkoff,CNY/RUB,11.759,value,2026-05-01T07:11:00.749000+03:00,2026-05-01,1777608660
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,77.5,min,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
rbc_cash,USD/RUB,77.5,p05,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
rbc_cash,USD/RUB,78.3,median,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
rbc_cash,CNY/RUB,11.9,min,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
rbc_cash,CNY/RUB,11.9,p05,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
rbc_cash,CNY/RUB,11.9,median,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
bestchange,USDT_TRC20/RUB,79.18988695,min,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
bestchange,USDT_TRC20/RUB,79.18994529,p05,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
bestchange,USDT_TRC20/RUB,82.35756478,median,2026-05-01T07:11:03+03:00,2026-05-01,1777608663
tinkoff,USD/RUB,78.75,value,2026-05-01T10:29:08.525000+03:00,2026-05-01,1777620548
tinkoff,CNY/RUB,11.759,value,2026-05-01T10:29:08.525000+03:00,2026-05-01,1777620548
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,75.99,min,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
rbc_cash,USD/RUB,77.49,p05,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
rbc_cash,USD/RUB,79.0,median,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
rbc_cash,CNY/RUB,11.37,min,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
rbc_cash,CNY/RUB,11.48,p05,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
rbc_cash,CNY/RUB,11.75,median,2026-05-01T10:29:12+03:00,2026-05-01,1777620552
bestchange,USDT_TRC20/RUB,79.18959256,min,2026-05-01T10:29:13+03:00,2026-05-01,1777620553
bestchange,USDT_TRC20/RUB,79.468,p05,2026-05-01T10:29:13+03:00,2026-05-01,1777620553
bestchange,USDT_TRC20/RUB,82.646637395,median,2026-05-01T10:29:13+03:00,2026-05-01,1777620553
tinkoff,USD/RUB,78.75,value,2026-05-01T12:53:17.718000+03:00,2026-05-01,1777629197
tinkoff,CNY/RUB,11.759,value,2026-05-01T12:53:17.718000+03:00,2026-05-01,1777629197
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,75.99,min,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
rbc_cash,USD/RUB,77.6,p05,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
rbc_cash,USD/RUB,79.0,median,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
rbc_cash,CNY/RUB,11.37,min,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
rbc_cash,CNY/RUB,11.46,p05,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
rbc_cash,CNY/RUB,11.75,median,2026-05-01T12:53:20+03:00,2026-05-01,1777629200
bestchange,USDT_TRC20/RUB,78.42352501,min,2026-05-01T12:53:21+03:00,2026-05-01,1777629201
bestchange,USDT_TRC20/RUB,79.18868491,p05,2026-05-01T12:53:21+03:00,2026-05-01,1777629201
bestchange,USDT_TRC20/RUB,82.270536095,median,2026-05-01T12:53:21+03:00,2026-05-01,1777629201
tinkoff,USD/RUB,78.8,value,2026-05-01T14:13:55.264000+03:00,2026-05-01,1777634035
tinkoff,CNY/RUB,11.759,value,2026-05-01T14:13:55.264000+03:00,2026-05-01,1777634035
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,76.45,min,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
rbc_cash,USD/RUB,77.5,p05,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
rbc_cash,USD/RUB,79.0,median,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
rbc_cash,CNY/RUB,11.37,min,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
rbc_cash,CNY/RUB,11.46,p05,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
rbc_cash,CNY/RUB,11.75,median,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
bestchange,USDT_TRC20/RUB,78.5106,min,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
bestchange,USDT_TRC20/RUB,79.0,p05,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
bestchange,USDT_TRC20/RUB,82.4,median,2026-05-01T14:13:59+03:00,2026-05-01,1777634039
tinkoff,USD/RUB,78.8,value,2026-05-01T16:43:57.814000+03:00,2026-05-01,1777643037
tinkoff,CNY/RUB,11.759,value,2026-05-01T16:43:57.814000+03:00,2026-05-01,1777643037
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,76.45,min,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
rbc_cash,USD/RUB,77.49,p05,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
rbc_cash,USD/RUB,79.0,median,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
rbc_cash,CNY/RUB,11.37,min,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
rbc_cash,CNY/RUB,11.43,p05,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
rbc_cash,CNY/RUB,11.75,median,2026-05-01T16:44:00+03:00,2026-05-01,1777643040
bestchange,USDT_TRC20/RUB,78.70155,min,2026-05-01T16:44:01+03:00,2026-05-01,1777643041
bestchange,USDT_TRC20/RUB,78.95,p05,2026-05-01T16:44:01+03:00,2026-05-01,1777643041
bestchange,USDT_TRC20/RUB,82.4115,median,2026-05-01T16:44:01+03:00,2026-05-01,1777643041
tinkoff,USD/RUB,78.8,value,2026-05-01T18:03:18.912000+03:00,2026-05-01,1777647798
tinkoff,CNY/RUB,11.759,value,2026-05-01T18:03:18.912000+03:00,2026-05-01,1777647798
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,76.45,min,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
rbc_cash,USD/RUB,77.49,p05,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
rbc_cash,USD/RUB,79.0,median,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
rbc_cash,CNY/RUB,11.37,min,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
rbc_cash,CNY/RUB,11.43,p05,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
rbc_cash,CNY/RUB,11.75,median,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
bestchange,USDT_TRC20/RUB,78.53473366,min,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
bestchange,USDT_TRC20/RUB,78.80147983,p05,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
bestchange,USDT_TRC20/RUB,82.2661,median,2026-05-01T18:03:23+03:00,2026-05-01,1777647803
tinkoff,USD/RUB,80.35,value,2026-05-01T20:05:11.098000+03:00,2026-05-01,1777655111
tinkoff,CNY/RUB,11.759,value,2026-05-01T20:05:11.098000+03:00,2026-05-01,1777655111
cbr,USD/RUB,74.8014,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
cbr,CNY/RUB,10.9593,value,2026-05-01T11:30:00+03:00,2026-05-01,1777624200
forex,USD/RUB,74.98,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
forex,CNY/RUB,10.94,value,2026-05-01T03:00:01+03:00,2026-05-01,1777593601
rbc_cash,USD/RUB,76.8,min,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
rbc_cash,USD/RUB,77.6,p05,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
rbc_cash,USD/RUB,78.5,median,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
rbc_cash,CNY/RUB,11.37,min,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
rbc_cash,CNY/RUB,11.43,p05,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
rbc_cash,CNY/RUB,11.7,median,2026-05-01T20:05:13+03:00,2026-05-01,1777655113
bestchange,USDT_TRC20/RUB,78.5393,min,2026-05-01T20:05:14+03:00,2026-05-01,1777655114
bestchange,USDT_TRC20/RUB,78.8165,p05,2026-05-01T20:05:14+03:00,2026-05-01,1777655114
bestchange,USDT_TRC20/RUB,82.42441491,median,2026-05-01T20:05:14+03:00,2026-05-01,1777655114
